MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
C23,80174,M80174,I-I STF E CO 4THLARBN 4THMARDIV,P O BOX 36,SYRACUSE NY,13211,16
C25,14237,null,PWST K CO 3DBN 25TH,625 E PITTSBURGH-MCKEESPORT BLVD NORTH,VERSAILLES PA,15137,17
C27,80297,M80297,SITE SPT (PROVIDENCE RI) CLR-45 4TH MLG,1ST NARRAGENSETT ST,PROVIDENCE RI,02905,16
C28,81240,M81240,I-I STF BTRY I 3DBN 14THMAR,1400 POSTAL ROAD,ALLENTOWN PA,18109,16
C29,82223,M82223,I-I STF A CO 4THCBTENGRBN 4THMARDIV,103 LAKEVIEW DRIVE,CHARLESTON WV,25313,16
C30,80291,M80291,I-I STF A CO 6TH COMMBN,25 BAITING PLACE ROAD,FARMINGDALE NY,11735,16
C31,21681,null,PWST/SITE SUPPORT BROOKLYN NY,4 PENNYFIELD AVE,BRONX NY,10465,17
C33,26749,null,SITE SUPPORT,111 W MILLERSBURG,NASHVILLE OH,44661,09
C34,87246,M87246,I-I STF P BTRY 5THBN 14THMAR,5101 NORTH ASSEMBLY ST,SPOKANE WA,99205,16
C35,14653,null,PWST BROKEN ARROW OK,AFRC 8000 EAST NEW ORLEANS ST,BROKEN ARROW OK,74014,17
C36,14652,null,SITE SUPPORT LUBBOCK TX,301 E REGIS ST SUITE 1137,LUBBOCK TX,79403,17
C37,85232,M85232,I-I STF E CO 4THRECONBN 4THMARDIV,2711 MCDONOUGH ST,JOLIET IL,60436,16
C39,77142,null,PWST WPNPLT 2/23 LAS VEGAS NV,5095 RANGE ROAD,LAS VEGAS NV,89115,17
C40,85233,M85233,I-I STF CO E (-) 2DBN 24MAR 4MARDIV,NMCRTC BLDG 47 DICKMAN AVE,DES MOINES IA,50315,16
C42,84282,M84282,SITE SPT (BATON ROUGE) 23DMAR REGT 4TH MARDIV,AFRC 7878 GSR-I ROAD,BATON ROUGE LA,70820,16
C43,14183,null,PWST 3DBN 24TH MARINES NASHVILLE,686 FITZHUGH BLVD SUITE A205,SMYRNA TN,37167,17
C44,82225,M82225,SITE SUPPORT TERRE HAUTE IN,200 SOUTH FRUITRIDGE AVENUE,TERRE HAUTE IN,47803,16
C45,75731,null,PWST/SITE SUPPORT FORT WAYNE IN,648 HOOSIER BLVD GRISSOM AIR RESERVE BASE,PERU IN,46970,17
C46,80242,M80242,SITE SPT (BUFFALO) 25TH MAR REGT 4TH MARDIV,3 PORTER AVE,BUFFALO NY,14201,16
C47,87248,M87248,SITE SUPPORT (BILLINGS MT) 4TH LAW ENF BN FHG,2120 8TH AVE NORTH,BILLINGS MT,59101,16
C48,73010,null,PWST/SITE SUPPORT MOBILE AL,4851 MUSEUM DRIVE,MOBILE AL,36608,17
C49,21445,null,PWST 4THTANKBN MORENO VALLEY CA,MCRC BLDG 2070 13TH STREET,TWENTYNINE PALMS CA,92778,17
